"rt","recall","stimuli","accuracy","trial_type","trial_index","time_elapsed","internal_node_id"
"2257","8,7,6","8,7,6","1","digit-span-recall","6","778644","0.0-3.0-1.0"
"2961","4,1,7,0","4,1,7,0","1","digit-span-recall","12","786620","0.0-3.0-1.1"
"2880","2,3,5,6,0","2,3,5,6,0","1","digit-span-recall","19","795516","0.0-3.0-1.2"
"3612","4,1,0","4,1,0","1","digit-span-recall","25","803900","0.0-5.0-1.0"
"6067","2,3,6,4","2,3,6,4","1","digit-span-recall","31","814987","0.0-5.0-1.1"
"6255","7,6,5,3,0","7,6,5,3,0","1","digit-span-recall","38","827259","0.0-5.0-1.2"
"9273","4,9,8,6,5,2","4,9,8,6,5,2","1","digit-span-recall","46","843555","0.0-5.0-1.3"
"4360","5,3,9,4,6,8,2","5,3,9,6,4,8,2","0","digit-span-recall","55","855939","0.0-5.0-1.4"
"5468","0,7,9,4,3,5,0","0,7,9,4,3,5,6","0","digit-span-recall","64","869427","0.0-5.0-1.5"
"11158","7,9,2,5,3,1","7,9,2,5,3,1","1","digit-span-recall","72","887611","0.0-5.0-1.6"
"5969","9,8,0,4,6,5,2","9,8,0,4,6,5,2","1","digit-span-recall","81","901603","0.0-5.0-1.7"
"6771","4,7,8,6,9,2","7,1,8,4,6,9,0,2","0","digit-span-recall","91","917403","0.0-5.0-1.8"
"6545","7,9,4,0,8,9,4,6","0,8,4,7,1,9,5,6","0","digit-span-recall","101","932987","0.0-5.0-1.9"
"7448","1,8,7,0,9,4,1","1,8,7,2,0,4,9","0","digit-span-recall","110","948459","0.0-5.0-1.10"
"4351","0,3,1,6,5","0,3,1,4,6,5","0","digit-span-recall","118","959827","0.0-5.0-1.11"
"3703","4,2,5,6,9","4,2,5,6,9","1","digit-span-recall","125","969546","0.0-5.0-1.12"
"8602","5,3,0,1,7,8","5,3,0,1,7,8","1","digit-span-recall","133","985170","0.0-5.0-1.13"
